端点 X,端点 Y,端点 Z,起点 X,起点 Y,起点 Z
0.0000,5.0456,0.0000,2.0000,5.0456,0.0000
0.0000,24.9651,0.0000,2.0000,24.9651,0.0000
0.0000,15.0053,0.0000,2.0000,15.0053,0.0000
0.0000,34.9249,0.0000,2.0000,34.9249,0.0000
1.4791,8.0000,0.0000,4.4791,8.0000,0.0000
1.4791,2.0000,0.0000,2.0000,5.0456,0.0000
1.4791,21.9195,0.0000,2.0000,24.9651,0.0000
1.4791,27.9195,0.0000,4.4791,27.9195,0.0000
1.4791,11.9598,0.0000,2.0000,15.0053,0.0000
1.4791,17.9598,0.0000,4.4791,17.9598,0.0000
1.4791,37.8793,0.0000,4.4791,37.8793,0.0000
1.4791,31.8793,0.0000,2.0000,34.9249,0.0000
2.0000,5.0456,0.0000,1.4791,8.0000,0.0000
2.0000,24.9651,0.0000,1.4791,27.9195,0.0000
2.0000,15.0053,0.0000,1.4791,17.9598,0.0000
2.0000,34.9249,0.0000,1.4791,37.8793,0.0000
4.4791,17.9598,0.0000,4.4791,21.9195,0.0000
4.4791,8.0000,0.0000,4.4791,11.9598,0.0000
4.4791,0.0000,0.0000,4.4791,2.0000,0.0000
4.4791,2.0000,0.0000,7.4791,2.0000,0.0000
4.4791,2.0000,0.0000,1.4791,2.0000,0.0000
4.4791,21.9195,0.0000,1.4791,21.9195,0.0000
4.4791,21.9195,0.0000,7.4791,21.9195,0.0000
4.4791,11.9598,0.0000,1.4791,11.9598,0.0000
4.4791,11.9598,0.0000,7.4791,11.9598,0.0000
4.4791,39.8793,0.0000,4.4791,37.8793,0.0000
4.4791,27.9195,0.0000,4.4791,31.8793,0.0000
4.4791,31.8793,0.0000,1.4791,31.8793,0.0000
4.4791,31.8793,0.0000,7.4791,31.8793,0.0000
6.9581,5.0456,0.0000,6.9581,5.0456,0.0000
6.9581,5.0456,0.0000,7.4791,8.0000,0.0000
6.9581,24.9651,0.0000,7.4791,27.9195,0.0000
6.9581,24.9651,0.0000,6.9581,24.9651,0.0000
6.9581,15.0053,0.0000,7.4791,17.9598,0.0000
6.9581,15.0053,0.0000,6.9581,15.0053,0.0000
6.9581,34.9249,0.0000,10.9625,34.9249,0.0000
6.9581,34.9249,0.0000,6.9581,34.9249,0.0000
6.9581,34.9249,0.0000,7.4791,37.8793,0.0000
7.4791,2.0000,0.0000,6.9581,5.0456,0.0000
7.4791,8.0000,0.0000,4.4791,8.0000,0.0000
7.4791,27.9195,0.0000,4.4791,27.9195,0.0000
7.4791,21.9195,0.0000,6.9581,24.9651,0.0000
7.4791,17.9598,0.0000,4.4791,17.9598,0.0000
7.4791,11.9598,0.0000,6.9581,15.0053,0.0000
7.4791,31.8793,0.0000,6.9581,34.9249,0.0000
7.4791,37.8793,0.0000,4.4791,37.8793,0.0000
10.4416,11.9598,0.0000,10.9625,15.0053,0.0000
10.4416,17.9598,0.0000,13.4416,17.9598,0.0000
10.4416,2.0000,0.0000,10.9625,5.0456,0.0000
10.4416,8.0000,0.0000,13.4416,8.0000,0.0000
10.4416,31.8793,0.0000,10.9625,34.9249,0.0000
10.4416,37.8793,0.0000,13.4416,37.8793,0.0000
10.4416,21.9195,0.0000,10.9625,24.9651,0.0000
10.4416,27.9195,0.0000,13.4416,27.9195,0.0000
10.9625,5.0456,0.0000,10.4416,8.0000,0.0000
10.9625,15.0053,0.0000,10.4416,17.9598,0.0000
10.9625,5.0456,0.0000,6.9581,5.0456,0.0000
10.9625,15.0053,0.0000,6.9581,15.0053,0.0000
10.9625,34.9249,0.0000,10.4416,37.8793,0.0000
10.9625,24.9651,0.0000,10.4416,27.9195,0.0000
10.9625,24.9651,0.0000,6.9581,24.9651,0.0000
13.4416,11.9598,0.0000,10.4416,11.9598,0.0000
13.4416,11.9598,0.0000,16.4416,11.9598,0.0000
13.4416,8.0000,0.0000,13.4416,11.9598,0.0000
13.4416,2.0000,0.0000,10.4416,2.0000,0.0000
13.4416,2.0000,0.0000,16.4416,2.0000,0.0000
13.4416,0.0000,0.0000,13.4416,2.0000,0.0000
13.4416,31.8793,0.0000,16.4416,31.8793,0.0000
13.4416,39.8793,0.0000,13.4416,37.8793,0.0000
13.4416,27.9195,0.0000,13.4416,31.8793,0.0000
13.4416,31.8793,0.0000,10.4416,31.8793,0.0000
13.4416,21.9195,0.0000,10.4416,21.9195,0.0000
13.4416,21.9195,0.0000,16.4416,21.9195,0.0000
13.4416,17.9598,0.0000,13.4416,21.9195,0.0000
15.9207,34.9249,0.0000,16.4416,37.8793,0.0000
15.9207,24.9651,0.0000,15.9207,24.9651,0.0000
15.9207,34.9249,0.0000,19.9251,34.9249,0.0000
15.9207,34.9249,0.0000,15.9207,34.9249,0.0000
15.9207,24.9651,0.0000,16.4416,27.9195,0.0000
15.9207,5.0456,0.0000,15.9207,5.0456,0.0000
15.9207,5.0456,0.0000,16.4416,8.0000,0.0000
15.9207,15.0053,0.0000,15.9207,15.0053,0.0000
15.9207,15.0053,0.0000,16.4416,17.9598,0.0000
16.4416,21.9195,0.0000,15.9207,24.9651,0.0000
16.4416,27.9195,0.0000,13.4416,27.9195,0.0000
16.4416,31.8793,0.0000,15.9207,34.9249,0.0000
16.4416,37.8793,0.0000,13.4416,37.8793,0.0000
16.4416,2.0000,0.0000,15.9207,5.0456,0.0000
16.4416,8.0000,0.0000,13.4416,8.0000,0.0000
16.4416,11.9598,0.0000,15.9207,15.0053,0.0000
16.4416,17.9598,0.0000,13.4416,17.9598,0.0000
19.4042,17.9598,0.0000,22.4042,17.9598,0.0000
19.4042,21.9195,0.0000,19.9251,24.9651,0.0000
19.4042,27.9195,0.0000,22.4042,27.9195,0.0000
19.4042,2.0000,0.0000,19.9251,5.0456,0.0000
19.4042,8.0000,0.0000,22.4042,8.0000,0.0000
19.4042,11.9598,0.0000,19.9251,15.0053,0.0000
19.4042,37.8793,0.0000,22.4042,37.8793,0.0000
