端点 X,端点 Y,端点 Z,起点 X,起点 Y,起点 Z
24.9790,17.2898,0.0000,19.9790,17.2898,0.0000
24.9790,25.9500,0.0000,19.9790,17.2898,0.0000
34.9790,17.3051,0.0000,29.9790,8.6449,0.0000
24.9790,17.3051,0.0000,29.9790,17.3051,0.0000
34.9790,17.3051,0.0000,29.9790,17.3051,0.0000
34.9790,25.9500,0.0000,29.9790,25.9500,0.0000
34.9790,25.9500,0.0000,29.9790,17.2898,0.0000
24.9790,25.9500,0.0000,29.9790,25.9500,0.0000
24.9790,17.2898,0.0000,29.9790,17.2898,0.0000
24.9790,25.9500,0.0000,29.9790,17.2898,0.0000
24.9790,17.3051,0.0000,29.9790,8.6449,0.0000
24.9790,8.6603,0.0000,29.9790,0.0000,0.0000
24.9790,8.6603,0.0000,29.9790,8.6603,0.0000
24.9790,0.0000,0.0000,29.9790,0.0000,0.0000
24.9790,0.0000,0.0000,19.9790,0.0000,0.0000
24.9790,8.6603,0.0000,19.9790,0.0000,0.0000
24.9790,17.3051,0.0000,19.9790,8.6449,0.0000
24.9790,8.6449,0.0000,29.9790,8.6449,0.0000
24.9790,8.6449,0.0000,19.9790,8.6449,0.0000
34.9790,8.6603,0.0000,29.9790,8.6603,0.0000
34.9790,8.6603,0.0000,29.9790,0.0000,0.0000
34.9684,17.2898,0.0000,29.9684,17.2898,0.0000
34.9684,25.9500,0.0000,29.9684,17.2898,0.0000
44.9684,17.3051,0.0000,39.9684,8.6449,0.0000
34.9684,17.3051,0.0000,39.9684,17.3051,0.0000
44.9684,17.3051,0.0000,39.9684,17.3051,0.0000
44.9684,25.9500,0.0000,39.9684,25.9500,0.0000
44.9684,25.9500,0.0000,39.9684,17.2898,0.0000
34.9684,25.9500,0.0000,39.9684,25.9500,0.0000
34.9684,17.2898,0.0000,39.9684,17.2898,0.0000
34.9684,25.9500,0.0000,39.9684,17.2898,0.0000
34.9684,17.3051,0.0000,39.9684,8.6449,0.0000
34.9684,8.6603,0.0000,39.9684,0.0000,0.0000
34.9684,8.6603,0.0000,39.9684,8.6603,0.0000
34.9684,0.0000,0.0000,39.9684,0.0000,0.0000
34.9684,0.0000,0.0000,29.9684,0.0000,0.0000
34.9684,8.6603,0.0000,29.9684,0.0000,0.0000
34.9684,17.3051,0.0000,29.9684,8.6449,0.0000
34.9684,8.6449,0.0000,39.9684,8.6449,0.0000
34.9684,8.6449,0.0000,29.9684,8.6449,0.0000
44.9684,8.6603,0.0000,39.9684,8.6603,0.0000
44.9684,8.6603,0.0000,39.9684,0.0000,0.0000
5.0000,17.2898,0.0000,0.0000,17.2898,0.0000
5.0000,25.9500,0.0000,0.0000,17.2898,0.0000
15.0000,17.3051,0.0000,10.0000,8.6449,0.0000
5.0000,17.3051,0.0000,10.0000,17.3051,0.0000
15.0000,17.3051,0.0000,10.0000,17.3051,0.0000
15.0000,25.9500,0.0000,10.0000,25.9500,0.0000
15.0000,25.9500,0.0000,10.0000,17.2898,0.0000
5.0000,25.9500,0.0000,10.0000,25.9500,0.0000
5.0000,17.2898,0.0000,10.0000,17.2898,0.0000
5.0000,25.9500,0.0000,10.0000,17.2898,0.0000
5.0000,17.3051,0.0000,10.0000,8.6449,0.0000
5.0000,8.6603,0.0000,10.0000,0.0000,0.0000
5.0000,8.6603,0.0000,10.0000,8.6603,0.0000
5.0000,0.0000,0.0000,10.0000,0.0000,0.0000
5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.0000,8.6603,0.0000,0.0000,0.0000,0.0000
5.0000,17.3051,0.0000,0.0000,8.6449,0.0000
5.0000,8.6449,0.0000,10.0000,8.6449,0.0000
5.0000,8.6449,0.0000,0.0000,8.6449,0.0000
15.0000,8.6603,0.0000,10.0000,8.6603,0.0000
15.0000,8.6603,0.0000,10.0000,0.0000,0.0000
14.9895,17.2898,0.0000,9.9895,17.2898,0.0000
14.9895,25.9500,0.0000,9.9895,17.2898,0.0000
24.9895,17.3051,0.0000,19.9895,8.6449,0.0000
14.9895,17.3051,0.0000,19.9895,17.3051,0.0000
24.9895,17.3051,0.0000,19.9895,17.3051,0.0000
24.9895,25.9500,0.0000,19.9895,25.9500,0.0000
24.9895,25.9500,0.0000,19.9895,17.2898,0.0000
14.9895,25.9500,0.0000,19.9895,25.9500,0.0000
14.9895,17.2898,0.0000,19.9895,17.2898,0.0000
14.9895,25.9500,0.0000,19.9895,17.2898,0.0000
14.9895,17.3051,0.0000,19.9895,8.6449,0.0000
14.9895,8.6603,0.0000,19.9895,0.0000,0.0000
14.9895,8.6603,0.0000,19.9895,8.6603,0.0000
14.9895,0.0000,0.0000,19.9895,0.0000,0.0000
14.9895,0.0000,0.0000,9.9895,0.0000,0.0000
14.9895,8.6603,0.0000,9.9895,0.0000,0.0000
14.9895,17.3051,0.0000,9.9895,8.6449,0.0000
14.9895,8.6449,0.0000,19.9895,8.6449,0.0000
14.9895,8.6449,0.0000,9.9895,8.6449,0.0000
24.9895,8.6603,0.0000,19.9895,8.6603,0.0000
24.9895,8.6603,0.0000,19.9895,0.0000,0.0000
