端点 X,端点 Y,端点 Z,起点 X,起点 Y,起点 Z
0.0000,5.0456,0.0000,2.0000,5.0456,0.0000
0.0000,15.0053,0.0000,2.0000,15.0053,0.0000
0.0000,24.9651,0.0000,2.0000,24.9651,0.0000
0.0000,34.9249,0.0000,2.0000,34.9249,0.0000
4.4790,17.9598,0.0000,4.4790,21.9195,0.0000
4.4790,8.0000,0.0000,4.4790,11.9598,0.0000
4.4790,0.0000,0.0000,4.4790,2.0000,0.0000
4.4790,27.9195,0.0000,4.4790,31.8793,0.0000
4.4790,39.8793,0.0000,4.4790,37.8793,0.0000
6.9581,5.0456,0.0000,10.9625,5.0456,0.0000
6.9581,24.9651,0.0000,10.9625,24.9651,0.0000
6.9581,15.0053,0.0000,10.9625,15.0053,0.0000
6.9581,34.9249,0.0000,6.9581,34.9249,0.0000
10.9625,34.9249,0.0000,6.9581,34.9249,0.0000
13.4416,8.0000,0.0000,13.4416,11.9598,0.0000
13.4416,0.0000,0.0000,13.4416,2.0000,0.0000
13.4416,27.9195,0.0000,13.4416,31.8793,0.0000
13.4416,39.8793,0.0000,13.4416,37.8793,0.0000
13.4416,17.9598,0.0000,13.4416,21.9195,0.0000
15.9207,15.0053,0.0000,19.9251,15.0053,0.0000
15.9207,24.9651,0.0000,19.9251,24.9651,0.0000
15.9207,34.9249,0.0000,15.9207,34.9249,0.0000
15.9207,5.0456,0.0000,19.9251,5.0456,0.0000
19.9251,34.9249,0.0000,15.9207,34.9249,0.0000
22.4041,17.9598,0.0000,22.4041,21.9195,0.0000
22.4041,8.0000,0.0000,22.4041,11.9598,0.0000
22.4041,0.0000,0.0000,22.4041,2.0000,0.0000
22.4041,27.9195,0.0000,22.4041,31.8793,0.0000
22.4041,39.8793,0.0000,22.4041,37.8793,0.0000
24.8832,24.9651,0.0000,28.8876,24.9651,0.0000
24.8832,15.0053,0.0000,28.8876,15.0053,0.0000
24.8832,5.0456,0.0000,28.8876,5.0456,0.0000
24.8832,34.9249,0.0000,24.8832,34.9249,0.0000
28.8876,34.9249,0.0000,24.8832,34.9249,0.0000
31.3667,17.9598,0.0000,31.3667,21.9195,0.0000
31.3667,8.0000,0.0000,31.3667,11.9598,0.0000
31.3667,0.0000,0.0000,31.3667,2.0000,0.0000
31.3667,27.9195,0.0000,31.3667,31.8793,0.0000
31.3667,39.8793,0.0000,31.3667,37.8793,0.0000
33.8457,24.9651,0.0000,33.8457,24.9651,0.0000
33.8457,15.0053,0.0000,33.8457,15.0053,0.0000
33.8457,5.0456,0.0000,33.8457,5.0456,0.0000
33.8457,34.9249,0.0000,33.8457,34.9249,0.0000
35.8457,24.9651,0.0000,33.8457,24.9651,0.0000
35.8457,15.0053,0.0000,33.8457,15.0053,0.0000
35.8457,5.0456,0.0000,33.8457,5.0456,0.0000
35.8457,34.9249,0.0000,33.8457,34.9249,0.0000
